Seller,PriceNumeric,KmNumeric,MakeYear,RootName,Color,Fuel,GearBox,CityName,OwnerTypeId,BodyStyleId,enc_seller,enc_gearBox,enc_fuel,enc_color_silver,enc_color_white,enc_color_grey,enc_color_gold,enc_color_black,enc_color_blue,enc_color_other,enc_city_new_delhi,enc_city_mumbai,enc_city_bangalore,enc_city_hyderabad,enc_city_chennai,enc_city_thane,enc_city_other,enc_name_innova,enc_name_fortuner,enc_name_corolla_altis,enc_name_etios,label
Dealer,550000,58449,2012,Etios,Maroon,Diesel,Manual,Chennai,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,24
Dealer,1325000,54468,2014,Innova,Maroon,Diesel,Manual,Chennai,1,6,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,20
Dealer,1300000,51174,2014,Innova,Beige,Diesel,Manual,Chennai,1,6,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,20
Dealer,2000000,44288,2014,Fortuner,Gold,Diesel,Manual,Chennai,1,6,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,16
Dealer,1450000,44416,2015,Corolla Altis,Grey,Petrol,Automatic,Chennai,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,8
Dealer,400000,70000,2006,Corolla,White,Petrol,Manual,Chennai,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,22
Dealer,2400000,38052,2014,Fortuner,White,Diesel,Automatic,Chennai,1,6,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,16
Dealer,1750000,85935,2013,Fortuner,White,Diesel,Manual,Chennai,1,6,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,16
Dealer,1750000,106204,2013,Fortuner,White,Diesel,Automatic,Chennai,1,6,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,16
Dealer,1050000,131184,2011,Innova,White,Diesel,Manual,Chennai,1,6,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,25
Dealer,1950000,54903,2012,Fortuner,White,Diesel,Automatic,Chennai,1,6,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,16
Dealer,1550000,120274,2012,Fortuner,White,Diesel,Automatic,Chennai,2,6,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,16
Dealer,1600000,73972,2015,Innova,Gold,Diesel,Manual,Chennai,1,6,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,17
Dealer,1000000,159000,2002,Land Cruiser,Silver,Diesel,Automatic,Chennai,3,6,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,19
Dealer,1250000,90859,2013,Innova,Blue,Diesel,Manual,Chennai,1,6,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,17
Dealer,1500000,52000,2014,Innova,Silver,Diesel,Manual,Chennai,2,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2
Dealer,575000,16000,2015,Etios,Grey,Petrol,Manual,Chennai,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,26
