ProfileId,CarName,MakeId,RootId,ModelId,VersionId,Url,FrontImagePath,InquiryId,Seller,PhotoCount,Price,PriceNumeric,Km,KmNumeric,MakeYear,MakeMonth,MakeName,RootName,ModelName,VersionName,MaskingName,Color,Fuel,AdditionalFuel,GearBox,SellerNote,VideoCount,OfferStartDate,OfferEndDate,LastUpdatedOn,AreaName,CityName,CityId,StateName,CertifiedLogoUrl,NoOfOwners,OwnerTypeId,IsPremium,IsHotDeal,Emi,EmiFormatted,FinanceUrlText,AbsureWarranty,AbsureScore,FinanceUrl,MakeMapping,RootMapping,ApiFlag,SortScore,MaskingNumber,SellerName,SellerContact,HostUrl,OriginalImgPath,CertificationId,InspectionText,HasWarranty,DealerQuickBloxId,SubSegmentID,VersionSubSegmentID,BodyStyleId,NBCityStripId,DeliveryText,DeliveryCity,NearbyCityText,IsPremiumPackage,IsNearbyCityListing,CertificationScore,Responses,IsEligibleForFinance,ResponsesText,MfgDate,ValuationUrl
D1477391,Toyota Etios GD,17,122,765,2247,/used/cars-in-chennai/toyota-etios-2010-2013-d1477391/,,1477391,Dealer,9,5.50L,550000,"58,449",58449,2012,10,Toyota,Etios,Etios [2010-2013],GD,etios-2010-2013,Maroon,Diesel,,Manual,GOOD,0,,,13 day(s) ago,Ashok Nagar,Chennai,176,Tamil Nadu,/AutoBiz/Certifications/,First Owner ,1,True,False,11122.0,"₹ 11,122",Get Instant Loan Approval,,0,https://www.cartrade.com/used-car-finance-cw/D1477391/step1?makeid=17&modelid=765&mfgyear=2012&cityid=176&price=550000&owner=1&mfgmonth=10,17~Toyota,122~Etios~17~False,,18.7521991729736,,Aara Cars,,https://imgd.aeplcdn.com/,/cw/ucp/stockApiImg/0Y955RV_1201911_1_9115715.jpeg,600,,False,-1,4,5,1,,,0,,True,False,4.0,4,True,,2012-10-01T00:00:00,/used/valuation/report/?car=2247&year=2012&city=176&askingPrice=550000&owner=1
D1471040,Toyota Innova 2.5 GX 7 STR BS-III,17,172,59,3178,/used/cars-in-chennai/toyota-innova-2013-2014-d1471040/,,1471040,Dealer,9,13.25L,1325000,"54,468",54468,2014,3,Toyota,Innova,Innova [2013-2014],2.5 GX 7 STR BS-III,innova-2013-2014,Maroon,Diesel,,Manual,Good,0,,,20 day(s) ago,Habibullah Road,Chennai,176,Tamil Nadu,/AutoBiz/Certifications/,First Owner ,1,True,False,26793.0,"₹ 26,793",Get Instant Loan Approval,,0,https://www.cartrade.com/used-car-finance-cw/D1471040/step1?makeid=17&modelid=59&mfgyear=2014&cityid=176&price=1325000&owner=1&mfgmonth=3,17~Toyota,172~Innova~17~False,,18.7486000061035,,Jains Car Shopee,,https://imgd.aeplcdn.com/,/cw/ucp/stockApiImg/UBYGGK7_1195196_1_9049082.jpeg,600,,False,-1,7,7,6,,,0,,True,False,4.0,2,True,,2014-03-01T00:00:00,/used/valuation/report/?car=3178&year=2014&city=176&askingPrice=1325000&owner=1
D1477391,Toyota Etios GD,17,122,765,2247,/used/cars-in-chennai/toyota-etios-2010-2013-d1477391/,,1477391,Dealer,9,5.50L,550000,"58,449",58449,2012,10,Toyota,Etios,Etios [2010-2013],GD,etios-2010-2013,Maroon,Diesel,,Manual,GOOD,0,,,13 day(s) ago,Ashok Nagar,Chennai,176,Tamil Nadu,/AutoBiz/Certifications/,First Owner ,1,False,False,11122.0,"₹ 11,122",Get Instant Loan Approval,,0,https://www.cartrade.com/used-car-finance-cw/D1477391/step1?makeid=17&modelid=765&mfgyear=2012&cityid=176&price=550000&owner=1&mfgmonth=10,17~Toyota,122~Etios~17~False,,18.7521991729736,,Aara Cars,,https://imgd.aeplcdn.com/,/cw/ucp/stockApiImg/0Y955RV_1201911_1_9115715.jpeg,600,,False,-1,4,5,1,,,0,,True,False,4.0,4,True,,2012-10-01T00:00:00,/used/valuation/report/?car=2247&year=2012&city=176&askingPrice=550000&owner=1
D1471040,Toyota Innova 2.5 GX 7 STR BS-III,17,172,59,3178,/used/cars-in-chennai/toyota-innova-2013-2014-d1471040/,,1471040,Dealer,9,13.25L,1325000,"54,468",54468,2014,3,Toyota,Innova,Innova [2013-2014],2.5 GX 7 STR BS-III,innova-2013-2014,Maroon,Diesel,,Manual,Good,0,,,20 day(s) ago,Habibullah Road,Chennai,176,Tamil Nadu,/AutoBiz/Certifications/,First Owner ,1,False,False,26793.0,"₹ 26,793",Get Instant Loan Approval,,0,https://www.cartrade.com/used-car-finance-cw/D1471040/step1?makeid=17&modelid=59&mfgyear=2014&cityid=176&price=1325000&owner=1&mfgmonth=3,17~Toyota,172~Innova~17~False,,18.7486000061035,,Jains Car Shopee,,https://imgd.aeplcdn.com/,/cw/ucp/stockApiImg/UBYGGK7_1195196_1_9049082.jpeg,600,,False,-1,7,7,6,,,0,,True,False,4.0,2,True,,2014-03-01T00:00:00,/used/valuation/report/?car=3178&year=2014&city=176&askingPrice=1325000&owner=1
D1477488,Toyota Innova 2.5 G 8 STR BS-IV,17,172,59,2384,/used/cars-in-chennai/toyota-innova-2013-2014-d1477488/,,1477488,Dealer,9,13L,1300000,"51,174",51174,2014,6,Toyota,Innova,Innova [2013-2014],2.5 G 8 STR BS-IV,innova-2013-2014,Beige,Diesel,,Manual,good condition,0,,,11 day(s) ago,Ashok Nagar,Chennai,176,Tamil Nadu,/AutoBiz/Certifications/,First Owner ,1,False,False,26288.0,"₹ 26,288",Get Instant Loan Approval,,0,https://www.cartrade.com/used-car-finance-cw/D1477488/step1?makeid=17&modelid=59&mfgyear=2014&cityid=176&price=1300000&owner=1&mfgmonth=6,17~Toyota,172~Innova~17~False,,18.7462997436523,,Aara Cars,,https://imgd.aeplcdn.com/,/cw/ucp/stockApiImg/EXXJ4AK_1202007_1_9116785.jpeg,600,,False,-1,7,7,6,,,0,,True,False,4.1,18,True,,2014-06-01T00:00:00,/used/valuation/report/?car=2384&year=2014&city=176&askingPrice=1300000&owner=1
D1484318,Toyota Corolla Altis VL AT Petrol,17,353,577,3351,/used/cars-in-chennai/toyota-corolla-altis-2014-2017-d1484318/,,1484318,Dealer,9,14.50L,1450000,"44,416",44416,2015,10,Toyota,Corolla Altis,Corolla Altis [2014-2017],VL AT Petrol,corolla-altis-2014-2017,Grey,Petrol,,Automatic,GOOD,0,,,3 day(s) ago,Adyar,Chennai,176,Tamil Nadu,/AutoBiz/Certifications/,First Owner ,1,False,False,29321.0,"₹ 29,321",Get Instant Loan Approval,,0,https://www.cartrade.com/used-car-finance-cw/D1484318/step1?makeid=17&modelid=577&mfgyear=2015&cityid=176&price=1450000&owner=1&mfgmonth=10,17~Toyota,353~Corolla Altis~17~False,,18.7325992584228,,A and S Pre Owned Cars,,https://imgd.aeplcdn.com/,/cw/ucp/stockApiImg/6XRDHGM_1209314_1_9209147.jpeg,600,,False,-1,8,9,1,,,0,,True,False,4.2,0,True,,2015-10-01T00:00:00,/used/valuation/report/?car=3351&year=2015&city=176&askingPrice=1450000&owner=1
D1474219,Toyota Fortuner 3.0 4x2 MT,17,135,245,2369,/used/cars-in-chennai/toyota-fortuner-2012-2016-d1474219/,,1474219,Dealer,9,20L,2000000,"44,288",44288,2014,9,Toyota,Fortuner,Fortuner [2012-2016],3.0 4x2 MT,fortuner-2012-2016,Gold,Diesel,,Manual,GOOD,0,,,17 day(s) ago,Ashok Nagar,Chennai,176,Tamil Nadu,/AutoBiz/Certifications/,First Owner ,1,False,False,38064.0,"₹ 38,064",Get Instant Loan Approval,,0,https://www.cartrade.com/used-car-finance-cw/D1474219/step1?makeid=17&modelid=245&mfgyear=2014&cityid=176&price=2000000&owner=1&mfgmonth=9,17~Toyota,135~Fortuner~17~False,,18.7408008575439,,Aara Cars,,https://imgd.aeplcdn.com/,/cw/ucp/stockApiImg/FE1SRNN_1198695_1_9081871.jpeg,600,,False,-1,10,10,6,,,0,,True,False,3.8,5,True,,2014-09-01T00:00:00,/used/valuation/report/?car=2369&year=2014&city=176&askingPrice=2000000&owner=1
D1481812,Toyota Corolla H5 1.8E,17,88,56,178,/used/cars-in-chennai/toyota-corolla-d1481812/,,1481812,Dealer,9,4L,400000,"70,000",70000,2006,6,Toyota,Corolla,Corolla,H5 1.8E,corolla,White,Petrol,,Manual,Excellent Condition,0,,,11 day(s) ago,Adyar,Chennai,176,Tamil Nadu,,First Owner ,1,False,False,0.0,,,,0,,17~Toyota,88~Corolla~17~True,,18.7350006103516,,A and S Pre Owned Cars,,https://imgd.aeplcdn.com/,/cw/ucp/stockApiImg/M395PPH_1206552_1_9162831.jpeg,0,,False,-1,1,1,1,,,0,,True,False,,1,False,,2006-06-01T00:00:00,/used/valuation/report/?car=178&year=2006&city=176&askingPrice=400000&owner=1
D1481759,Toyota Fortuner 3.0 4x2 AT,17,135,245,2787,/used/cars-in-chennai/toyota-fortuner-2012-2016-d1481759/,,1481759,Dealer,9,24L,2400000,"38,052",38052,2014,6,Toyota,Fortuner,Fortuner [2012-2016],3.0 4x2 AT,fortuner-2012-2016,White,Diesel,,Automatic,Excellent Condition,0,,,11 day(s) ago,Adyar,Chennai,176,Tamil Nadu,,First Owner ,1,False,False,45677.0,"₹ 45,677",Get Instant Loan Approval,,0,https://www.cartrade.com/used-car-finance-cw/D1481759/step1?makeid=17&modelid=245&mfgyear=2014&cityid=176&price=2400000&owner=1&mfgmonth=6,17~Toyota,135~Fortuner~17~False,,18.7239990234375,,A and S Pre Owned Cars,,https://imgd.aeplcdn.com/,/cw/ucp/stockApiImg/P1XKQKT_1206497_1_9162220.jpeg,0,,False,-1,10,10,6,,,0,,True,False,,4,True,,2014-06-01T00:00:00,/used/valuation/report/?car=2787&year=2014&city=176&askingPrice=2400000&owner=1
D1483840,Toyota Fortuner 3.0 4x2 MT,17,135,245,2369,/used/cars-in-chennai/toyota-fortuner-2012-2016-d1483840/,,1483840,Dealer,9,17.50L,1750000,"85,935",85935,2013,8,Toyota,Fortuner,Fortuner [2012-2016],3.0 4x2 MT,fortuner-2012-2016,White,Diesel,,Manual,GOOD,0,,,7 day(s) ago,Ashok Nagar,Chennai,176,Tamil Nadu,/AutoBiz/Certifications/,First Owner ,1,False,False,38963.0,"₹ 38,963",Get Instant Loan Approval,,0,https://www.cartrade.com/used-car-finance-cw/D1483840/step1?makeid=17&modelid=245&mfgyear=2013&cityid=176&price=1750000&owner=1&mfgmonth=8,17~Toyota,135~Fortuner~17~False,,18.7276000976562,,Aara Cars,,https://imgd.aeplcdn.com/,/cw/ucp/stockApiImg/ML8FFGN_1208789_1_9185579.jpeg,600,,False,-1,10,10,6,,,0,,True,False,3.8,1,True,,2013-08-01T00:00:00,/used/valuation/report/?car=2369&year=2013&city=176&askingPrice=1750000&owner=1
