,Seller,PriceNumeric,MakeYear,RootName,Color,Fuel,GearBox,CityName,OwnerTypeId,BodyStyleId,enc_seller,enc_gearBox,enc_fuel,enc_color_silver,enc_color_white,enc_color_grey,enc_color_gold,enc_color_black,enc_color_blue,enc_color_other,enc_city_new_delhi,enc_city_mumbai,enc_city_bangalore,enc_city_hyderabad,enc_city_chennai,enc_city_pune,enc_city_ahmedabad,enc_city_other,enc_name_innova,enc_name_fortuner,enc_name_corolla_altis,enc_name_etios,enc_name_etios_liva,enc_name_etios_corolla,enc_name_other,km_1,km_2,km_3,km_4
0,Dealer,550000,2012,Etios,Maroon,Diesel,Manual,Chennai,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,Dealer,1325000,2014,Innova,Maroon,Diesel,Manual,Chennai,1,6,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2,Dealer,1300000,2014,Innova,Beige,Diesel,Manual,Chennai,1,6,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3,Dealer,2000000,2014,Fortuner,Gold,Diesel,Manual,Chennai,1,6,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
4,Dealer,1450000,2015,Corolla Altis,Grey,Petrol,Automatic,Chennai,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
5,Dealer,400000,2006,Corolla,White,Petrol,Manual,Chennai,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
6,Dealer,2400000,2014,Fortuner,White,Diesel,Automatic,Chennai,1,6,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7,Dealer,1750000,2013,Fortuner,White,Diesel,Manual,Chennai,1,6,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
8,Dealer,1750000,2013,Fortuner,White,Diesel,Automatic,Chennai,1,6,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
9,Dealer,1050000,2011,Innova,White,Diesel,Manual,Chennai,1,6,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
10,Dealer,1950000,2012,Fortuner,White,Diesel,Automatic,Chennai,1,6,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
11,Dealer,1550000,2012,Fortuner,White,Diesel,Automatic,Chennai,2,6,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
12,Dealer,1600000,2015,Innova,Gold,Diesel,Manual,Chennai,1,6,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
13,Dealer,1000000,2002,Land Cruiser,Silver,Diesel,Automatic,Chennai,3,6,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
14,Dealer,1250000,2013,Innova,Blue,Diesel,Manual,Chennai,1,6,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
15,Dealer,1500000,2014,Innova,Silver,Diesel,Manual,Chennai,2,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
16,Dealer,575000,2015,Etios,Grey,Petrol,Manual,Chennai,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
17,Dealer,550000,2012,Etios,Red,Diesel,Manual,Chennai,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
18,Dealer,330000,2011,Etios Liva,Black,Petrol,Manual,Chennai,1,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
19,Dealer,525000,2009,Corolla Altis,White,Petrol,Automatic,Chennai,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
20,Dealer,1500000,2014,Innova,Grey,Diesel,Manual,Chennai,1,6,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
21,Dealer,1425000,2013,Innova,Silver,Diesel,Manual,Chennai,1,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
22,Dealer,330000,2008,Corolla Altis,White,Petrol,Manual,Chennai,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
23,Dealer,1525000,2014,Innova,Silver,Diesel,Manual,Chennai,1,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
24,Dealer,2450000,2014,Fortuner,White,Diesel,Automatic,Chennai,1,6,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
25,Dealer,2250000,2014,Fortuner,Beige,Diesel,Manual,Chennai,1,6,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
26,Dealer,1520000,2014,Innova,Gold,Diesel,Manual,Chennai,1,6,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
27,Dealer,1900000,2014,Fortuner,Gold,Diesel,Manual,Chennai,1,6,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
28,Dealer,1475000,2014,Innova,Gold,Diesel,Manual,Chennai,1,6,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
29,Dealer,1220000,2014,Innova,Grey,Diesel,Manual,Chennai,1,6,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
30,Dealer,725000,2010,Innova,Gold,Diesel,Manual,Chennai,1,6,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
31,Dealer,1425000,2014,Innova,Silver,Diesel,Manual,Chennai,1,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
32,Dealer,650000,2006,Innova,Gold,Diesel,Manual,Chennai,2,6,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
33,Dealer,1525000,2014,Innova,Silver,Diesel,Manual,Chennai,1,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
34,Dealer,1749999,2013,Fortuner,White,Diesel,Automatic,Chennai,1,6,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
35,Dealer,1300000,2012,Innova,Gold,Diesel,Manual,Chennai,1,6,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
36,Dealer,1375000,2015,Corolla Altis,White,Petrol,Automatic,Chennai,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
37,Dealer,350000,2011,Etios Liva,Blue,Diesel,Manual,Chennai,2,3,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
38,Dealer,975000,2009,Innova,Beige,Diesel,Manual,Chennai,1,6,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
39,Dealer,1375000,2011,Fortuner,White,Diesel,Manual,Chennai,1,6,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
40,Dealer,790000,2013,Corolla Altis,Gold,Diesel,Manual,Chennai,2,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
41,Dealer,1375000,2014,Innova,Silver,Diesel,Manual,Chennai,1,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
42,Dealer,1100000,2011,Innova,Grey,Diesel,Manual,Chennai,1,6,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
43,Dealer,1075000,2011,Innova,Beige,Diesel,Manual,Chennai,1,6,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
44,Dealer,810000,2008,Innova,Silver,Diesel,Manual,Chennai,1,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
