,ProfileId,CarName,PriceNumeric,KmNumeric,MakeYear,Color,CityName,OwnerTypeId
0,D1477391,Toyota Etios GD,550000,58449,2012,Maroon,Chennai,1
1,D1471040,Toyota Innova 2.5 GX 7 STR BS-III,1325000,54468,2014,Maroon,Chennai,1
2,D1477488,Toyota Innova 2.5 G 8 STR BS-IV,1300000,51174,2014,Beige,Chennai,1
3,D1474219,Toyota Fortuner 3.0 4x2 MT,2000000,44288,2014,Gold,Chennai,1
4,D1484318,Toyota Corolla Altis VL AT Petrol,1450000,44416,2015,Grey,Chennai,1
5,D1481812,Toyota Corolla H5 1.8E,400000,70000,2006,White,Chennai,1
6,D1481759,Toyota Fortuner 3.0 4x2 AT,2400000,38052,2014,White,Chennai,1
7,D1483840,Toyota Fortuner 3.0 4x2 MT,1750000,85935,2013,White,Chennai,1
8,D1478258,Toyota Fortuner 2.5 Sportivo 4x2 AT,1750000,106204,2013,White,Chennai,1
9,D1477480,Toyota Innova Crysta 2.5 VX BS-IV,1050000,131184,2011,White,Chennai,1
10,D1473263,Toyota Fortuner 3.0 4x2 AT,1950000,54903,2012,White,Chennai,1
11,D1483843,Toyota Fortuner 3.0 4x2 AT,1550000,120274,2012,White,Chennai,2
12,D1472019,Toyota Innova 2.5 ZX BS IV 7 STR,1600000,73972,2015,Gold,Chennai,1
13,D1441072,Toyota Land Cruiser LC 200 VX,1000000,159000,2002,Silver,Chennai,3
14,D1489027,Toyota Innova 2.5 GX 8 STR BS-III,1250000,90859,2013,Blue,Chennai,1
15,D1451575,Toyota Innova 2.5 ZX 7 STR BS-IV,1500000,52000,2014,Silver,Chennai,2
16,D1479702,Toyota Etios VX,575000,16000,2015,Grey,Chennai,1
17,D1470012,Toyota Etios GD,550000,73236,2012,Red,Chennai,1
18,D1476667,Toyota Etios Liva V,330000,60129,2011,Black,Chennai,1
19,D1482598,Toyota Corolla Altis 1.8 VL AT,525000,76176,2009,White,Chennai,1
20,D1478125,Toyota Innova 2.5 VX 7 STR BS-III,1500000,41793,2014,Grey,Chennai,1
21,D1482603,Toyota Innova 2.5 VX 8 STR BS-III,1425000,53083,2013,Silver,Chennai,1
22,D1488163,Toyota Corolla Altis 1.8 G,330000,101911,2008,White,Chennai,1
23,D1482606,Toyota Innova 2.5 VX 7 STR BS-III,1525000,57497,2014,Silver,Chennai,1
24,D1476432,Toyota Fortuner 3.0 4x2 AT,2450000,34038,2014,White,Chennai,1
25,D1458390,Toyota Fortuner 3.0 4x2 MT,2250000,44143,2014,Beige,Chennai,1
26,D1487313,Toyota Innova 2.5 VX BS III 7 STR,1520000,57000,2014,Gold,Chennai,1
27,D1482596,Toyota Fortuner 3.0 4x2 MT,1900000,69267,2014,Gold,Chennai,1
28,D1488165,Toyota Innova 2.5 VX BS IV 8 STR,1475000,80936,2014,Gold,Chennai,1
29,D1478146,Toyota Innova 2.5 V 7 STR,1220000,87781,2014,Grey,Chennai,1
30,D1476801,Toyota Innova 2.5 G3,725000,139297,2010,Gold,Chennai,1
31,D1482609,Toyota Innova 2.5 VX 7 STR BS-III,1425000,109660,2014,Silver,Chennai,1
32,D1467959,Toyota Innova 2.5 V 7 STR,650000,150000,2006,Gold,Chennai,2
33,D1482608,Toyota Innova 2.5 VX 7 STR BS-III,1525000,54482,2014,Silver,Chennai,1
34,D1486422,Toyota Fortuner 3.0 4x2 AT,1749999,130000,2013,White,Chennai,1
35,D1476713,Toyota Innova 2.5 G4 8 STR,1300000,8000,2012,Gold,Chennai,1
36,D1483965,Toyota Corolla Altis VL AT Petrol,1375000,38000,2015,White,Chennai,1
37,D1469515,Toyota Etios Liva GD,350000,63000,2011,Blue,Chennai,2
38,D1444560,Toyota Innova 2.5 V 7 STR,975000,95230,2009,Beige,Chennai,1
39,D1430656,Toyota Fortuner 4x4 MT Limited Edition,1375000,110000,2011,White,Chennai,1
40,D1485404,Toyota Corolla Altis G Diesel,790000,42593,2013,Gold,Chennai,2
41,D1481468,Toyota Innova 2.5 GX 7 STR BS-III,1375000,63000,2014,Silver,Chennai,1
42,D1477691,Toyota Innova 2.5 VX 8 STR BS-IV,1100000,119000,2011,Grey,Chennai,1
43,D1487230,Toyota Innova 2.5 V 7 STR,1075000,160464,2011,Beige,Chennai,1
44,D1478086,Toyota Innova 2.5 V 7 STR,810000,157000,2008,Silver,Chennai,1
45,D1481658,Toyota Fortuner 3.0 MT,1150000,205439,2011,Black,Chennai,1
46,D1477034,Toyota Innova 2.5 GX 7 STR BS-III,1325000,554477,2014,Red,Chennai,1
47,D1479897,Toyota Innova 2.5 V 7 STR,1100000,119000,2011,Grey,Chennai,1
48,D1488923,Toyota Fortuner 3.0 MT,1210000,118911,2010,Grey,Chennai,1
49,D1479892,Toyota Innova 2.5 V 7 STR,810000,157000,2008,Silver,Chennai,1
50,D1471913,Toyota Innova 2.5 V 7 STR,1595000,13937,2014,Gold,Chennai,1
51,D1482590,Toyota Innova 2.5 VX 8 STR BS-IV,1525000,38875,2014,Grey,Chennai,1
52,D1470904,Toyota Innova 2.5 G4 8 STR,1175000,53000,2012,Grey,Chennai,1
53,D1480635,Toyota Fortuner 3.0 MT,1295000,63000,2010,Silver,Chennai,2
54,D1472079,Toyota Etios VD,515000,74295,2011,Blue,Chennai,1
55,D1484422,Toyota Fortuner 3.0 4x2 AT,2550000,31218,2015,Silver,Chennai,1
56,D1475704,Toyota Innova 2.5 G 7 STR BS-III,675000,137031,2007,Maroon,Chennai,2
57,D1478142,Toyota Innova 2.5 V 8 STR,950000,150609,2010,Gold,Chennai,1
58,D1479690,Toyota Corolla H4 1.8G,225000,80000,2006,Black,Chennai,2
59,D1485663,Toyota Innova 2.5 G BS IV 8 STR,670000,120221,2008,Green,Chennai,1
60,D1480751,Toyota Fortuner 4x2 AT,2200000,73000,2014,White,Chennai,1
61,D1480011,Toyota Innova 2.5 G4 7 STR,690000,190000,2008,Silver,Chennai,1
62,D1487127,Toyota Innova 2.5 G4 8 STR,670000,190785,2008,Green,Chennai,1
63,D1471300,Toyota Innova 2.5 V 8 STR,1275000,183000,2013,Grey,Chennai,1
64,D1456896,Toyota Innova 2.5 V 7 STR,750000,175000,2008,Black,Chennai,1
65,D1488392,Toyota Etios Cross 1.4 VD,625000,50000,2015,Silver,Chennai,1
66,D1471660,Toyota Etios GD,510000,80000,2011,Silver,Chennai,1
67,D1432863,Toyota Innova 2.5 E 8 STR,1300000,80000,2012,Grey,Chennai,1
68,D1476303,Toyota Fortuner 3.0 4x4 AT,2300000,87398,2014,White,Chennai,1
69,D1406628,Toyota Fortuner 3.0 4x4 MT,1400000,119000,2011,Grey,Chennai,1
70,D1488486,Toyota Etios VX,365000,118000,2011,Black,Chennai,1
71,D1471657,Toyota Innova 2.0 G1 BS-IV,550000,215000,2006,Gold,Chennai,2
72,D1469777,Toyota Etios Liva GD,515000,38000,2013,Blue,Chennai,1
73,D1446825,Toyota Etios Liva GD,465000,38000,2013,Blue,Chennai,1
74,D1484269,Toyota Etios GD,775000,26883,2017,White,Chennai,1
75,D1449256,Toyota Corolla Altis J Diesel,675000,57698,2009,Silver,Chennai,1
76,D1485970,Toyota Corolla H5 1.8E,240000,85000,2006,Black,Chennai,1
77,D1464202,Toyota Corolla Altis JS Petrol,475000,81000,2012,Grey,Chennai,1
78,D1452256,Toyota Innova 2.5 ZX BS III 7 STR,1640000,35296,2015,Grey,Chennai,1
79,D1464755,Toyota Corolla HE 1.8J,375000,94000,2008,White,Chennai,1
80,D1474360,Toyota Corolla H3 1.8G,210000,74000,2004,Gold,Chennai,2
81,D1472667,Toyota Innova 2.5 V 7 STR,1240000,75000,2011,Gold,Chennai,1
82,D1449260,Toyota Innova 2.5 G4 8 STR,675000,90000,2005,Silver,Chennai,1
83,D1486080,Toyota Etios VX,550000,16000,2015,Grey,Chennai,1
84,D1456760,Toyota Qualis GS G5,325000,100000,2003,Silver,Chennai,3
85,D1473532,Toyota Fortuner 3.0 4x2 AT,1699999,66200,2012,White,Chennai,1
86,D1465867,Toyota Innova 2.5 V 7 STR,1275000,92000,2012,Grey,Chennai,1
87,D1469771,Toyota Innova 2.5 V 7 STR,1175000,116526,2012,Beige,Chennai,1
88,D1479822,Toyota Innova 2.0 GX 8 STR BS-IV,1300000,18000,2012,Gold,Chennai,1
89,D1457709,Toyota Innova 2.5 GX 8 STR BS-IV,1175000,94000,2012,White,Chennai,1
90,D1473212,Toyota Etios Cross 1.4 VD,625000,52000,2015,Silver,Chennai,1
91,D1471267,Toyota Corolla Altis 1.8 VL AT,575000,52000,2009,Maroon,Chennai,1
92,D1485964,Toyota Innova 2.5 V 7 STR,1225000,112000,2012,Silver,Chennai,1
93,D1437785,Toyota Camry V4 MT,325000,100000,2005,Silver,Chennai,1
94,D1457776,Toyota Innova 2.5 G4 8 STR,1050000,130000,2011,Grey,Chennai,1
95,D1468036,Toyota Innova 2.5 G4 8 STR,749000,151382,2009,Blue,Chennai,1
96,D1468051,Toyota Fortuner 3.0 4x4 AT,2200000,87315,2014,White,Chennai,1
97,D1465661,Toyota Innova 2.5 V 7 STR,975000,150000,2010,Silver,Chennai,1
98,D1437846,Toyota Qualis GS G9,275000,120000,2000,Silver,Chennai,3
99,D1486512,Toyota Innova 2.5 G4 7 STR,575000,120000,2007,Gold,Chennai,2
100,D1462812,Toyota Innova 2.5 V 8 STR,1350000,120000,2013,Grey,Chennai,1
101,D1465745,Toyota Innova 2.5 V 7 STR,1130000,120000,2011,Gold,Chennai,1
102,D1475683,Toyota Innova 2.5 G4 7 STR,925000,179000,2011,Silver,Chennai,1
103,D1449254,Toyota Fortuner 3.0 MT,1250000,250000,2011,White,Chennai,1
104,D1488456,Toyota Etios G,450000,39000,2012,Silver,Chennai,1
105,D1487891,Toyota Innova 2.5 GX 7 STR BS-III,1345000,40000,2014,Gold,Chennai,1
106,D1487926,Toyota Etios GD,590000,71500,2013,Grey,Chennai,1
107,D1476425,Toyota Fortuner 3.0 Ltd,1490000,119000,2011,Grey,Chennai,1
108,D1488370,Toyota Innova 2.5 V 7 STR,685000,220000,2008,Black,Chennai,2
109,S977658,Toyota Etios G,465000,33000,2013,Celestial Black,Chennai,1
110,S993734,Toyota Etios Liva VD Dual Tone,590000,52000,2016,Vermilion Red,Chennai,1
111,S965558,Toyota Etios GD,540000,65300,2012,Vermilion  Red,Chennai,2
112,S970561,Toyota Innova 2.5 GX BS IV 7 STR,1550000,27000,2016,Silver,Chennai,1
113,S971072,Toyota Innova 2.5 VX 8 STR BS-III,1500000,42100,2013,Silky Gold,Chennai,1
114,S999268,Toyota Innova 2.5 V 7 STR,1100000,50364,2008,Gold,Chennai,1
